laptop_ID,Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price
1,Acer,Nitro V15 ANV15-52-57BB,Gaming,15.6,FHD 1920x1080,Intel Core i5-13420H,8GB,512GB SSD,NVIDIA GeForce RTX 5050,Windows 11,1.99kg,128000
2,Asus,TUF Gaming A15 FA506NCG,Gaming,15.6,IPS Panel Full HD 1920x1080,AMD Ryzen 7-7445HS,4GB,512GB SSD,NVIDIA GeForce RTX 3050,Windows 11,2.30kg,118000
3,HP,15-fc0146dx,Ultrabook,15.6,IPS Panel Touchscreen FHD 1920x1080,AMD Ryzen 5 7520U,8GB,512GB SSD,AMD Radeon Graphics,Windows 11,1.60kg,66990
4,HP,OmniBook 5 Flip 14-fp0023dx,2 in 1 Convertible,14,IPS Panel 2K 1920x1200,Intel Core 7-150U,16GB,512GB SSD,Intel UHD Graphics,Windows 11,1.30kg,129900
5,HP,Victus 15-FA2013DX,Gaming,15.6,FHD 1920x1080,Intel Core i5-13420H,6GB,512GB SSD,NVIDIA GeForce RTX 3050 Laptop GPU,Windows 11,2.30kg,97000
6,HP,Victus 15-fa2082wm,Gaming,15.6,IPS Panel,Intel Core i5-13420H,6GB,512GB SSD,RTX 4050,Windows 11,2.29kg,115990
7,Lenovo,IdeaPad Slim 3 15IRH10,Notebook,15.3,IPS Panel Touchscreen UHD 3840x2160,Intel Core i5-13420H,8GB,512GB SSD,Intel Integrated UHD Graphics,Windows 11,1.59kg,81999
8,Lenovo,LOQ 15 15AHP10,Gaming,15.6,FHD 1920x1080,AMD Ryzen 5 220,8GB,512GB SSD,NVIDIA GeForce RTX 5050,Windows 11,2.4kg,145000
9,Lenovo,LOQ 15IRX10,Gaming,15.6,FHD 1920x1080,Intel Core i5-13450HX,8GB,512GB SSD,NVIDIA GeForce RTX 5050,Windows 11,2.4kg,144999
10,Apple,MacBook Neo,Notebook,13,Retina 2560x1600,Apple A18 Pro chip,8GB,256GB SSD,5‑core GPU,macOS,1.23kg,83499
11,Apple,MacBook Air M5 13-Inch,Ultrabook,13,Retina 2560x1600,Apple M5 chip,16GB,512GB SSD,8 Core GPU,macOS,1.23kg,159999
12,Apple,MacBook Air M5 15-Inch,Gaming,15,2880x1864,Apple M5 chip,16GB,512GB SSD,8 Core GPU,macOS,1.51kg,183999
13,Apple,MacBook Pro M5 14-Inch 16/512GB 10-Core CPU 10-Core GPU,Ultrabook,14,Retina 2560x1600,Apple M5 chip,16GB,512GB SSD,10-Core GPU,macOS,1.55kg,229999
14,Apple,MacBook Pro M5 Pro 14-Inch 24/1TB 15-Core CPU 16-Core GPU,Notebook,14,Retina 2560x1600,Apple M5 Pro Chip,24GB,1TB SSD,16-Core GPU,macOS,1.60kg,318999
15,Apple,MacBook Air M4 13-Inch,Notebook,13,Retina 2560x1600,10 Core CPU 8 Core GPU / 10 Core CPU 10 Core GPU | 16-core Neural Engine,16GB,256GB SSD,8 Core GPU,macOS,1.24kg,136499
16,Apple,MacBook Pro M4 Pro 14-Inch 24/512GB 12,Ultrabook,14,Retina 2560x1600,Apple M4 Pro chip,24GB,512GB SSD,16 Core GPU,macOS,1.60kg,249999
17,Apple,MacBook Air M4 15-Inch,Notebook,15,Retina 2560x1600,10 Core CPU 10 Core GPU | 16-core Neural Engine,16GB,256GB SSD,10 Core GPU,macOS,1.51kg,155999
18,HP,250R G10,Notebook,15.6,Full HD 1920x1080,Intel Core 3-100U,8GB,512GB SSD,Intel Graphics,Windows 11,1.59kg,63000
19,Lenovo,IdeaPad Slim 3 15AMN8,Gaming,15.6,FHD 1920x1080,AMD Ryzen 5-7520U,8GB,512GB SSD,AMD Radeon Graphics,Windows 11,1.62kg,71990
20,Apple,MacBook Pro M5 14-Inch 16/1TB 10-Core CPU 10-Core GPU,Notebook,14,Retina 2560x1600,OS: macOS Tahoe | Chipset: Apple M5 | CPU: 10 Core | GPU: 10 Core | NPU: 16 core Neural Engine,16GB,1TB SSD,10-Core GPU,macOS,1.55kg,238999
21,Lenovo,LOQ 15IRX10 13th Gen,Gaming,15.6,FHD 1920x1080,Intel Core i7-13650HX,8GB,512GB SSD,NVIDIA GeForce RTX 5060,Windows 11,2.38kg,170000
22,Asus,TUF A16 FA607NUQ,Gaming,16,FHD 1920x1080,AMD Ryzen 7 170 Processor,6GB,512GB SSD,NVIDIA GeForce RTX 4050,Windows 11,2.20kg,142900
23,Lenovo,IdeaPad Slim 3 15ABR8,Notebook,15.6,1920x1080,AMD Ryzen 7 5825U,16GB,512GB SSD,AMD Radeon Graphics,Windows 11,1.62kg,82999
24,HP,Victus 15-FA2104TX,Gaming,15.6,FHD 1920x1080,Intel Core i7-13620H,6GB,512GB SSD,NVIDIA GeForce RTX 4050,Windows 11,2.37kg,142999
